The Marvelous Mrs. Maisel,Recurring,14,Bailey De Young,Imogene Cleary, Midge's best friend.
The Marvelous Mrs. Maisel,Recurring,15,Cynthia Darlow,Mrs. Moskowitz," Joel's secretary, former childhood nanny, and Penny's replacement."
The Marvelous Mrs. Maisel,Recurring,16,Holly Curran,Penny Pann, Joel's former secretary and girlfriend.
The Marvelous Mrs. Maisel,Recurring,17,Will Brill,Noah Weissman, Midge's brother. He is secretly an analyst for the CIA.
The Marvelous Mrs. Maisel,Recurring,18,Joanna Glushak,Mrs. O'Toole, the floor supervisor at B. Altman.
The Marvelous Mrs. Maisel,Recurring,19,Justine Lupe,Astrid, Noah's wife and Midge's sister-in-law. She is very insecure about the fact that she was not born Jewish.
The Marvelous Mrs. Maisel,Recurring,20,David Paymer,Harry Drake, a successful manager of comedians with clients including Sophie Lennon.
The Marvelous Mrs. Maisel,Recurring,21,David Aaron Baker,Charles Connelly, Abe's boss at Bell Labs.
The Marvelous Mrs. Maisel,Recurring,22,Max Casella,Michael Kessler, Midge's lawyer and a former activist acquaintance of Abe's.
The Marvelous Mrs. Maisel,Recurring,23,Steven Hauck,Dawes, Sophie Lennon’s acerbic butler
The Marvelous Mrs. Maisel,Recurring,24,Zachary Levi,Dr. Benjamin Ettenberg, a doctor whom Midge meets in the Catskills and later begins to date.
The Marvelous Mrs. Maisel,Recurring,25,Erik Palladino,Frank, a low-level mob enforcer partnered with Nicky and later develops a friendship with Susie
The Marvelous Mrs. Maisel,Recurring,26,John Scurti,Nick, a low-level mob enforcer partnered with Frank and later develops a friendship with Susie
The Marvelous Mrs. Maisel,Recurring,27,Leroy McClain,Shy Baldwin, a singer who gives Midge her big break to be his opening act on tour.
The Marvelous Mrs. Maisel,Recurring,28,Emily Bergl,Tessie, Susie's sister.
The Marvelous Mrs. Maisel,Recurring,29,Colby Minifie,Ginger, a coworker of Midge's at B. Altman who works at the switchboard.
The Marvelous Mrs. Maisel,Recurring,30,Andrew Polk,Fred, an agent that Susie networks with for booking gigs with Midge.
The Marvelous Mrs. Maisel,Recurring,31,Connor Ratliff,Chester, a stalker of Susie who later becomes her roommate.
The Marvelous Mrs. Maisel,Recurring,32,Teddy Coluca,Manny, a worker at Maisel & Roth.
The Marvelous Mrs. Maisel,Recurring,33,Sterling K. Brown,Reggie, Shy Baldwin's manager.
The Marvelous Mrs. Maisel,Recurring,34,Stephanie Hsu,Mei Lin, a mysterious Chinese-American woman who has connections to an illegal gambling ring underneath Joel's new club.
The Marvelous Mrs. Maisel,Recurring,35,Liza Weil,Carole Keen," a bass player in Baldwin's orchestra who becomes a friendly mentor to Midge; she is very loosely modeled on renowned bassist Carol Kaye, though Kaye found the character an insulting representation."
The Marvelous Mrs. Maisel,Recurring,36,Cary Elwes,Gavin Hawk, Sophie Lennon's co-star in Miss Julie.
The Marvelous Mrs. Maisel,Recurring,37,Jason Alexander,Asher Friedman, Abe's old friend who is a playwright.
The Marvelous Mrs. Maisel,Recurring,38,Wanda Sykes,comedian Moms Mabley.,
The Marvelous Mrs. Maisel,Recurring,39,Kayli Carter,Gloria, a burlesque dancer at The Wolford
The Marvelous Mrs. Maisel,Recurring,40,Reid Scott,Gordon Ford, a talk show host
The Marvelous Mrs. Maisel,Recurring,41,Gideon Glick,Alfie, a magician who Susie manages
The Marvelous Mrs. Maisel,Recurring,42,Santino Fontana,Boise, the stage manager at a Manhattan burlesque club called The Wolford
The Marvelous Mrs. Maisel,Recurring,43,Alfie Fuller,Dinah Rutledge, Susie’s receptionist
The Marvelous Mrs. Maisel,Recurring,44,Hari Nef,L. Roy Dunham, a newspaper critic reviewing Midge’s acts
The Marvelous Mrs. Maisel,Recurring,45,Jason Ralph,Mike Carr, a booker on the Gordon Ford Show
The Marvelous Mrs. Maisel,Recurring,46,Kelly Bishop,Benedetta, a leader of a matchmaking consortium based in NYC
The Marvelous Mrs. Maisel,Recurring,47,Jackie Hoffman,Gitta, a NYC matchmaker
The Marvelous Mrs. Maisel,Recurring,48,Patrice Johnson Chevannes,Miss Em, a NYC matchmaker
The Marvelous Mrs. Maisel,Recurring,49,Marceline Hugot,Molly, a NYC matchmaker
